,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo_M,posse_de_veiculo_Y,posse_de_imovel_Y
0,0,Working,Secondary / secondary special,Married,House / apartment,58.83287671232877,3.106849315068493,1,0,0,0,2.0,False,True,True,True
1,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.35616438356164,8.35890410958904,1,0,1,1,1.0,False,False,False,True
2,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.35616438356164,8.35890410958904,1,0,1,1,1.0,False,False,False,True
3,0,Working,Higher education,Married,House / apartment,46.224657534246575,2.106849315068493,1,1,1,1,2.0,False,True,True,True
4,0,Working,Incomplete higher,Married,House / apartment,29.23013698630137,3.021917808219178,1,0,0,0,2.0,False,False,True,False
5,0,Working,Incomplete higher,Married,House / apartment,29.23013698630137,3.021917808219178,1,0,0,0,2.0,False,False,True,False
6,0,Working,Secondary / secondary special,Married,House / apartment,27.48219178082192,4.024657534246575,1,0,1,0,2.0,False,False,False,True
7,0,Working,Secondary / secondary special,Married,House / apartment,27.48219178082192,4.024657534246575,1,0,1,0,2.0,False,False,False,True
8,1,Working,Secondary / secondary special,Single / not married,House / apartment,30.04931506849315,4.438356164383562,1,0,0,0,2.0,False,False,False,True
9,1,Working,Secondary / secondary special,Single / not married,House / apartment,30.04931506849315,4.438356164383562,1,0,0,0,2.0,False,False,False,True
10,3,Working,Secondary / secondary special,Married,House / apartment,34.76438356164383,3.186301369863014,1,0,0,0,5.0,False,True,True,True
11,1,Commercial associate,Higher education,Married,House / apartment,32.44383561643836,5.523287671232877,1,0,0,0,3.0,False,True,False,True
12,1,Commercial associate,Higher education,Married,House / apartment,32.44383561643836,5.523287671232877,1,0,0,0,3.0,False,True,False,True
13,1,Commercial associate,Higher education,Married,House / apartment,32.44383561643836,5.523287671232877,1,0,0,0,3.0,False,True,False,True
14,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,True,True,True
15,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,True,True,True
16,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,True,True,True
17,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,True,True,True
18,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,True,True,True
19,2,Working,Secondary / secondary special,Married,House / apartment,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False,False,True,True
20,2,Working,Secondary / secondary special,Married,House / apartment,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False,False,True,True
21,2,Working,Secondary / secondary special,Married,House / apartment,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False,False,True,True
22,1,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.41643835616439,19.44931506849315,1,0,0,0,3.0,False,False,False,True
23,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,False,False,True
24,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,False,False,True
25,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,False,False,True
26,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,False,False,True
27,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,False,False,True
28,0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.3041095890411,-1000.6657534246576,1,0,0,0,1.0,False,False,False,True
29,0,Commercial associate,Higher education,Separated,Rented apartment,46.61917808219178,3.690410958904109,1,0,0,0,1.0,False,False,False,True
30,0,Commercial associate,Higher education,Separated,Rented apartment,46.61917808219178,3.690410958904109,1,0,0,0,1.0,False,False,False,True
31,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
32,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
33,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
34,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
35,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
36,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
37,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
38,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
39,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
40,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
41,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
42,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
43,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
44,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True
45,0,Commercial associate,Higher education,Married,House / apartment,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False,False,False,False
46,0,Commercial associate,Higher education,Married,House / apartment,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False,False,False,False
47,0,Commercial associate,Higher education,Married,House / apartment,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False,False,False,False
48,1,Working,Secondary / secondary special,Married,House / apartment,28.27671232876712,7.693150684931507,1,0,0,0,3.0,False,True,False,True
49,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,False,True,True
50,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,False,True,True
51,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,False,True,True
52,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,False,True,True
53,0,Working,Secondary / secondary special,Married,House / apartment,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,False,True,True
54,0,Working,Secondary / secondary special,Married,House / apartment,43.90958904109589,2.4356164383561643,1,0,1,0,2.0,False,True,False,True
55,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,False,False,True
56,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,False,False,True
57,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,False,False,True
58,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,False,False,True
59,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,False,False,True
60,0,Working,Secondary / secondary special,Separated,House / apartment,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False,False,True,True
61,0,Working,Secondary / secondary special,Separated,House / apartment,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False,False,True,True
62,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,True,False,True
63,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,True,False,True
